iloc,Bestandskonto,Bewertungsklasse,Einzelpostenanzeige moeglich,Erfolgskontentyp,Geschaeftsbereich,Gruppenkennzeichen,KZ EKBE,Kennzeichen: Posten nicht kopierbar ?,Kostenstelle,Kreditkontr_Bereich,Laufende Kontierung,PartnerPrctr,Profitcenter,Rechnungsbezug,Soll/Haben-Kennz_,Sperrgrund Menge,Steuerkennzeichen,Bewertungskreis,Steuerstandort,Umsatzwirksam,Verwaltung offener Posten,Werk,Zahlungsbedingung,Zahlungssperre,Alternative Kontonummer,Basismengeneinheit,BestPreisMngEinheit,Bestandsbuchung,Bestellmengeneinheit,Buchungsschluessel,Buchungszeilen-Id,ErfassungsMngEinh,Hauptbuchkonto,Kontoart,Kostenart,Kreditor,Material,Preissteuerung,Sachkonto,Vorgang,Vorgangsart GL,Wertestring,Betrag Hauswaehr,Betrag,Betrag_5,Gesamtbestand,Gesamtwert,Kreditkontr_betrag,Menge in BPME,Menge in ErfassME,Menge,Skontobasis,Label,Belegnummer,Position,Transaktionsart,Erfassungsuhrzeit
2502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_2,5000000016,9,Materialzugang,14:04:58
2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_2,5000000016,10,Sachkontenbuchung,14:04:58
5064,,X,,,,,X,,,,X,,X,,,,X,,X,,,,,,X,,,X,X,,,,X,,,X,X,,,,,,X,X,,X,X,,X,X,X,,Fraud_Larceny_4,5000000024,1,Materialzugang,14:27:52
5065,,X,,,,,X,,,,X,,X,,,,X,,X,,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,X,X,,X,X,X,,Fraud_Larceny_4,5000000024,2,Sachkontenbuchung,14:27:52
8755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000033,1,Materialzugang,14:56:41
8756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000033,2,Sachkontenbuchung,14:56:41
8757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000033,3,Materialzugang,14:56:41
8758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000033,4,Sachkontenbuchung,14:56:41
8759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000033,5,Materialzugang,14:56:41
8760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000033,6,Sachkontenbuchung,14:56:41
8761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000033,7,Materialzugang,14:56:41
8762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000033,8,Sachkontenbuchung,14:56:41
8763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000033,9,Materialzugang,14:56:41
8764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000033,10,Sachkontenbuchung,14:56:41
8765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000033,11,Materialzugang,14:56:41
8766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000033,12,Sachkontenbuchung,14:56:41
8767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000034,1,Materialzugang,14:57:26
8768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000034,2,Sachkontenbuchung,14:57:26
8769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000034,3,Materialzugang,14:57:26
8770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000034,4,Sachkontenbuchung,14:57:26
8771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000034,5,Materialzugang,14:57:26
8772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000034,6,Sachkontenbuchung,14:57:26
8773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000034,7,Materialzugang,14:57:26
8774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000034,8,Sachkontenbuchung,14:57:26
8775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000034,9,Materialzugang,14:57:26
8776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000034,10,Sachkontenbuchung,14:57:26
13759,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_1,5000000045,3,Materialzugang,15:32:50
13760,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_1,5000000045,4,Sachkontenbuchung,15:32:50
13765,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_1,5000000045,9,Materialzugang,15:32:50
13766,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_1,5000000045,10,Sachkontenbuchung,15:32:50
15745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000050,1,Materialzugang,15:46:56
15746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000050,2,Sachkontenbuchung,15:46:56
15747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000050,3,Materialzugang,15:46:56
15748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000050,4,Sachkontenbuchung,15:46:56
15749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000050,5,Materialzugang,15:46:56
15750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000050,6,Sachkontenbuchung,15:46:56
15751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000050,7,Materialzugang,15:46:56
15752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000050,8,Sachkontenbuchung,15:46:56
15753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000050,9,Materialzugang,15:46:56
15754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000050,10,Sachkontenbuchung,15:46:56
15755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000050,11,Materialzugang,15:46:56
15756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000050,12,Sachkontenbuchung,15:46:56
22205,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_1,5000000063,1,Materialzugang,16:34:02
22206,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_1,5000000063,2,Sachkontenbuchung,16:34:02
22211,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_1,5000000063,7,Materialzugang,16:34:02
22212,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_1,5000000063,8,Sachkontenbuchung,16:34:02
22424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000064,1,Materialzugang,16:35:36
22425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000064,2,Sachkontenbuchung,16:35:36
22426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000064,3,Materialzugang,16:35:36
22427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000064,4,Sachkontenbuchung,16:35:36
22428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000064,5,Materialzugang,16:35:36
22429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000064,6,Sachkontenbuchung,16:35:36
22430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000064,7,Materialzugang,16:35:36
22431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000064,8,Sachkontenbuchung,16:35:36
22432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000064,9,Materialzugang,16:35:36
22433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000064,10,Sachkontenbuchung,16:35:36
22434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000064,11,Materialzugang,16:35:36
22435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_1,5000000064,12,Sachkontenbuchung,16:35:36
35046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000079,1,Materialzugang,17:47:40
35047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000079,2,Sachkontenbuchung,17:47:40
35048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000079,3,Materialzugang,17:47:40
35049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_3,5000000079,4,Sachkontenbuchung,17:47:40
36376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,X,,Fraud_Corporate_Injury_1,5000000082,9,Materialzugang,17:52:03
36377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,X,,Fraud_Corporate_Injury_1,5000000082,10,Sachkontenbuchung,17:52:03
36378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,X,,Fraud_Corporate_Injury_1,5000000082,11,Materialzugang,17:52:03
36379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,X,,Fraud_Corporate_Injury_1,5000000082,12,Sachkontenbuchung,17:52:03
36802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,X,,Fraud_Corporate_Injury_1,5000000083,1,Materialzugang,17:53:04
36803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,X,,Fraud_Corporate_Injury_1,5000000083,2,Sachkontenbuchung,17:53:04
36804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,X,,Fraud_Corporate_Injury_1,5000000083,3,Materialzugang,17:53:04
36805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,X,,Fraud_Corporate_Injury_1,5000000083,4,Sachkontenbuchung,17:53:04
